Full Library Name,Library Name,Branch Name,Full Address,Address,City,County,State,Zip Code,Type of Library,Mailing Address,Mailing City,Mailing County,Mailing State,Mailing Zip Code,Phone Number,FAX Number,Email Address,Website,Library System Membership,Director's First Name,Director's Last Name,Director's Phone Number,Director's Email,New Georeferenced Column,2010 House Districts,2010 Senate Districts,Counties
North Bend Public Library,North Bend Public Library,,1800 Sherman Avenue North Bend  OR 97459,1800 Sherman Avenue,North Bend,Coos,OR,97459,Public,1800 Sherman Avenue North Bend OR 97459,North Bend,,OR,97459,(541) 756-0400,(541) 756-1073,hlagasse@coastlinelibrarynetwork.org,http://northbendoregon.us/library,CCLSD,Haley,Lagasse,(541) 756-5442,hlagasse@coastlinelibrarynetwork.org,POINT (-124.22403500000001 43.408901),9,5,2320
Jackson County Library Services - Central Point Branch Library,Jackson County Library Services,Central Point Branch Library,116 South Third Street Central Point OR 97502,116 South Third Street,Central Point,Jackson,OR,97502,Public,,,,,,(541) 664-3228,,info@jcls.org,http://www.jcls.org,NONE,Stephanie,Goodwin,(541) 494-3266,sgoodwin@jcls.org,POINT (-122.914071 42.37382),4,2,2367
Corvallis-Benton County Public Library - Philomath Community Library,Corvallis-Benton County Public Library,Philomath Community Library,1050 Applegate Philomath OR 97370,1050 Applegate,Philomath,Benton,OR,97370,Public,PO Box 400 Philomath  97370,Philomath,Benton,,97370,(541) 929-3016,(541) 929-5934,,http://www.cbcpl.net,NONE,Andrew,Cherbas,,andrew.cherbas@corvallisoregon.gov,POINT (-123.370871 44.539146),16,8,2316
Hermiston Public Library,Hermiston Public Library,,235 E Gladys Ave Hermiston OR 97838,235 E Gladys Ave,Hermiston,Umatilla,OR,97838,Public,235 E Gladys Ave Hermiston OR 97838,Hermiston,,OR,97838,(541) 567-2882,(541) 667-5055,library@hermiston.or.us,http://www.hermistonlibrary.us,UCSLD,Mark,Rose,(541) 667-5050,mrose@hermiston.or.us,POINT (-119.288087 45.841422),57,29,2413
Western Oregon University - Hamersly Library,Western Oregon University,Hamersly Library,345 N Monmouth Ave Monmouth OR 97361-1314,345 N Monmouth Ave,Monmouth,Polk,OR,97361-1314,Academic,,,,,,503-838-8418,503-838-8399,,http://www.wou.edu/provost/library,,Allen,McKiel,503-838-8886,mckiela@wou.edu,POINT (-123.23731699999999 44.851955),20,10,723
Lakeside Public Library,Lakeside Public Library,,915 N Lake Lakeside OR 97449,915 N Lake,Lakeside,Coos,OR,97449,Public,PO Box R Lakeside OR 97449,Lakeside,Coos,OR,97449,(541) 759-4432,(541) 759-4752,cyoung@cclsd.org,http://www.cooslibraries.org,CCLSD,Cheryl,Young,(541) 759-4432,cyoung@coastlinelibrarynetwork.org,POINT (-124.173881 43.575929),9,5,2320
Lane Community College - Library,Lane Community College,Library,4000 E 30th Ave Eugene OR 97405-0640,4000 E 30th Ave,Eugene,Lane County,OR,97405-0640,Academic,4000 E 30th Ave Eugene  97405-0640,Eugene,Lane County,,97405-0640,541-463-5220,541-463-4150,,https://library.lanecc.edu,,Rick,Stoddart,541-463-5824,stoddartr@lanecc.edu,POINT (-123.032681 44.014005),11,6,2371
Astoria Public Library,Astoria Public Library,,450 10th ST Astoria OR 97103,450 10th ST,Astoria,Clatsop,OR,97103,Public,450 10th ST Astoria OR 97103,Astoria,,OR,97103,(503) 325-7323,,comments@astorialibrary.org,http://astorialibrary.org,NONE,Jimmy,Pearson,(503) 298-2450,jpearson@astoria.or.us,POINT (-123.832753 46.188034),32,16,
University of Western States - W. A. Budden Library,University of Western States,W. A. Budden Library,2900 NE 132nd Portland OR 97230-3099,2900 NE 132nd,Portland,,OR,97230-3099,Academic,,,,,,503-251-5752,503-251-5759,,https://www.uws.edu/community/library/,,Janet,Tapper,503-251-5757,jtapper@uws.edu,POINT (-122.527005 45.543486),47,24,2410
Portland Community College - Southeast Campus,Portland Community College - Southeast Campus,,2305 S.E. 82nd Ave. Portland OR 97216,2305 S.E. 82nd Ave.,Portland,Multnomah,OR,97216,Academic,PO Box 19000 Portland OR 97289-0900,Portland,Multnomah,OR,97289-0900,(971) 722-6187,,https://www.pcc.edu/library/about/people/contact/email-a-librarian/,http://www.pcc.edu/library/,,Michelle,Bagley,(971) 722-4497,michelle.bagley@pcc.edu,POINT (-122.578728 45.506208),46,23,2410
Multnomah County Library - Hollywood Library,Multnomah County Library,Hollywood Library,4040 NE Tillamook St Portland OR 97212,4040 NE Tillamook St,Portland,Multnomah,OR,97212,Public,,,,,,,,,,NONE,Martha,Flotten,(503)988-6074,marthafl@multcolib.org,POINT (-122.62153999999998 45.537781),45,23,2410
Klamath Tribal Library,Klamath Tribal Library,,501 Chiloquin Blvd. Chiloquin OR 97624,501 Chiloquin Blvd.,Chiloquin,Klamath,OR,97624,Tribal,PO Box 436 Chiloquin OR 97624,Chiloquin,Klamath,OR,97624,(541) 783-2219,,,,,Tribal Chair,Gary Frost,,,POINT (-121.874112 42.57562),55,28,2369
Langlois Library District,Langlois Library District,,48234 Hwy 101 Langlois OR 97450,48234 Hwy 101,Langlois,Curry,OR,97450,Public,PO Box 277 Langlois OR 97450,Langlois,,OR,97450,(541) 348-2066,(541) 348-2066,langloislibrary@gmail.com,http://www.langloispubliclibrary.org,NONE,Susan,"Orbom, Library Board Chair",(541) 348-2066,orbom.lpl@gmail.com,POINT (-124.450338 42.921326),1,1,2321
National University of Natural Medicine Library,National University of Natural Medicine Library,,049 SW Porter Portland OR 97201-4848,049 SW Porter,Portland,,OR,97201-4848,Academic,,,,,,503-552-1542,503-552-1547,,http://library.nunm.edu/,,Noelle,Stello,503-522-1544,nstello@nunm.edu,POINT (-122.67657 45.501533),36,18,2410
University of Oregon - UO Portland Library and Learning Commons,University of Oregon,UO Portland Library and Learning Commons,70 NW Couch St Portland OR 97209,70 NW Couch St,Portland,Multnomah,OR,97209,Academic,70 NW Couch St Portland OR 97209,Portland,Multnomah,OR,97209,(503) 412-3671,(503) 412-3670,pdxlib@uoregon.edu,http://library.uoregon.edu/portland/index.html,,Karen,Munro,(503) 412-3673,kmunro@uoregon.edu,POINT (-122.67115400000002 45.523873),36,18,2410
Josephine Community Library District - Williams Branch Library,Josephine Community Library District,Williams Branch Library,20695 Williams Highway Williams OR 97544,20695 Williams Highway,Williams,Josephine,OR,97544,Public,200 NW C Street Grants Pass  97526,Grants Pass,Josephine,,97526,541-846-7020,,,http://www.josephinelibrary.org,NONE,Ellie,"Avis, Branch Manager",,,POINT (-123.27363500000001 42.219057),3,2,2368
Sweet Home Public Library,Sweet Home Public Library,,1101 13th Ave  Sweet Home  OR 97386,1101 13th Ave,Sweet Home,Linn,OR,97386,Public,1101 13th Ave Sweet Home OR 97386,Sweet Home,LINN,OR,97386,(541) 367-5007,(541) 367-3754,rpeda@sweethomeor.gov,https://www.sweet-home.or.us/,NONE,Rose,Peda,(541) 367-5007,rpeda@sweethomeor.gov,POINT (-122.72896700000001 44.39642200000001),17,9,2407
Oregon Trail Library District - OTLD Boardman Branch,Oregon Trail Library District,OTLD Boardman Branch,200 S Main Boardman OR 97818,200 S Main,Boardman,Morrow,OR,97818,Public,PO Box 849 Boardman  97818,Boardman,Morrow,,97818,(541) 481-2665,(541) 481-2668,kstreet@otld.org,http://oregontrail.ploud.net/,NONE,Kathy,Street,541-481-3365,kstreet@otld.org,POINT (-119.70076600000002 45.835036),57,29,722
Klamath County Library - Sprague River Branch Library,Klamath County Library,Sprague River Branch Library,23402 Sprague River Rd Sprague River OR 97639,23402 Sprague River Rd,Sprague River,Klamath,OR,97639,Public,PO Box 29 Sprague River  97639,Sprague River,Klamath,,97639,(541) 533-2769,(541) 533-2769,spragueriverstaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894  ext 26,njohnston@klamathlibrary.org,POINT (-121.504198 42.455306),55,28,2369
C. Giles Hunt Memorial Library,C. Giles Hunt Memorial Library,,210 E Central Ave Sutherlin OR 97479,210 E Central Ave,Sutherlin,Douglas County,OR,97479,Public,210 E Central Ave Sutherlin  97479,Sutherlin,Douglas,,97479,(541) 459-9161,,SutherlinLibrary@gmail.com,http://www.SutherlinLibrary.org,NONE,Patrick,Lynch,541-459-9161,p.lynch@ci.sutherlin.or.us,POINT (-123.31109399999998 43.390493),7,4,2363
Beaverton City Library,Beaverton City Library,,12375 SW 5th St Beaverton   OR 97005,12375 SW 5th St,Beaverton,Washington,OR,97005,Public,12375 SE 5th St Beaverton  OR 97005,Beaverton,,OR,97005,(503) 644-2197,(503) 574-3436,librarymail@beavertonoregon.gov,http://www.beavertonlibrary.org,WCCLS,Glenn,Ferdman,(503) 526-3705,gferdman@beavertonoregon.gov,POINT (-122.80427 45.483328),27,14,724
Multnomah County Library - Kenton Library,Multnomah County Library,Kenton Library,8226 N. Denver Ave Portland OR 97217,8226 N. Denver Ave,Portland,Multnomah,OR,97217,Public,8226 N. Denver Ave Portland OR 97217,Portland,Multnomah,OR,97217,(503) 988-5123,(503) 988-5441,,http://www.multcolib.org/,NONE,David,Miles,(503) 988-5370,davidm@multcolib.org,POINT (-122.68688799999998 45.582892),44,22,2410
Glendale Community Library,Glendale Community Library,,190 Third Street Glendale OR 97442,190 Third Street,Glendale,Douglas County,OR,97442,Volunteer,PO Box 907 Glendale  97442,Glendale,Douglas,,97442,(541) 832-2360,(541) 832-2360,,,NONE,Charlton,McNutt,541-832-2360,,POINT (-123.42756800000001 42.736703),2,1,2363
Corban University - Library,Corban University,Library,5000 Deer Park Drive SE Salem OR 97317--9392,5000 Deer Park Drive SE,Salem,Marion,OR,97317--9392,Academic,5000 Deer Park Drive SE Salem  97317,Salem,Marion,,97317,503-375-7016,503-375-7196,library@corban.edu,http://inside.corban.edu/library,,Garrett,Trott,503-589-8116,gtrott@corban.edu,POINT (-122.96185 44.88345),19,10,2409
Josephine Community Library District - Grants Pass Main Branch Library,Josephine Community Library District,Grants Pass Main Branch Library,200 NW C Street Grants Pass OR 97526,200 NW C Street,Grants Pass,Josephine,OR,97526,Public,200 NW C Street Grants Pass OR 97526,Grants Pass,Josephine,OR,97526,(541) 476-0571,,info@josephinelibrary.org,http://www.josephinelibrary.org/,NONE,Kate,Lasky,,klasky@josephinelibrary.org,POINT (-123.32688600000002 42.442668),3,2,2368
Mt. Hood Community College - Library,Mt. Hood Community College,Library,26000 SE Stark St Gresham OR 97030-3300,26000 SE Stark St,Gresham,,OR,97030-3300,Academic,,,,,,503-491-7161,503-491-7389,reference@mhcc.edu,http://www.mhcc.edu/library/,,Megan,Dugan,503-491-7652,megan.dugan@mhcc.edu,POINT (-122.39617199999999 45.518941),49,25,2410
Keizer Community Library,Keizer Community Library,,980 Chemawa Road NE Keizer OR 97303,980 Chemawa Road NE,Keizer,Marion,OR,97303,Volunteer,980 Chemawa Road NE Keizer OR 97303,Keizer,Marion,OR,97303,(503) 390-2370,,books.keizerlibrary@gmail.com,http://www.keizerlibrary.org/home,,,,,,POINT (-123.018974 44.99689600000001),25,13,2409
Oregon Health & Science University - Isabel McDonald Library,Oregon Health & Science University,Isabel McDonald Library,505 NW 185th Ave Beaverton OR 97006-3499,505 NW 185th Ave,Beaverton,,OR,97006-3499,Special,,,,,,503-690-5309,503-690-5243,onprclib@ohsu.edu,http://www.ohsu.edu/xd/education/library/about/onprc-isabel-mcdonald-library.cfm?WT_rank=1#,,Denise,Urbanski,(503)690-5309,onprclib@ohsu.edu,POINT (-122.86756800000002 45.52298),30,15,724
Cedar Mill Community Library - Bethany Branch Library,Cedar Mill Community Library,Bethany Branch Library,15325 NW Central Drive Suite J-8 Portland OR 97229,15325 NW Central Drive Suite J-8,Portland,Washington,OR,97229,Public,,,,,,(503) 617-7323,,,http://library.cedarmill.org/,,Marianne,Coalson,(503) 617-7323,MarianneC@wccls.org,POINT (-122.83492900000002 45.554546),33,17,724
Oregon Trail Library District,Oregon Trail Library District,,200 S Main St Boardman OR 97818,200 S Main St,Boardman,Morrow,OR,97818,Public,PO Box 849 Boardman OR 97818,Boardman,,OR,97818,(541) 481-2665,(541) 481-2668,kstreet@otld.org,http://oregontrail.ploud.net,NONE,Kathy,Street,(541) 481-3365,kstreet@otld.org,POINT (-119.70076600000002 45.835036),57,29,722
Baker County Public Library - Richland Branch Library,Baker County Public Library,Richland Branch Library,42008 Moody Rd Richland OR 97870,42008 Moody Rd,Richland,Baker,OR,97870,Public,,,,,,(541) 893-6088,,richland@bakerlib.org,,NONE,,,,,POINT (-117.162934 44.769503),60,30,2315
Columbia County Law Library,Columbia County Law Library,,270 S. First St. St. Helens Or 97051,270 S. First St.,St. Helens,Columbia,Or,97051,Special,PO Box 1400 St. Helens Or 97051,St. Helens,Columbia,Or,97051,(503) 396-5344,,Ccll@columbiacll.org,,,Pam,Davis,,,POINT (-122.797886 45.862699),31,16,2319
Weston Public Library,Weston Public Library,,108 E Main St Weston OR 97886,108 E Main St,Weston,Umatilla,OR,97886,Public,PO Box 550 Weston OR 97886,Weston,Umatilla,OR,97886,(541) 566-2378,,wcolibrary@qwestoffice.net,http://westonpubliclibrary.com,UCSLD,Kathleen,Schmidtgall,(541) 566-2378,wcolibrary@qwestoffice.net,POINT (-118.424765 45.813582),58,29,2413
Deschutes Public Library System - Sunriver Library,Deschutes Public Library System,Sunriver Library,56855 Venture Lane Sunriver OR 97707,56855 Venture Lane,Sunriver,Deschutes,OR,97707,Public,56855 Venture Lane Sunriver  97707,Sunriver,,,97707,(541) 312-1080,(541) 593-9286,,http://www.deschuteslibrary.org/sunriver/,NONE,Todd,Dunkelberg,(541) 312-1080,toddd@deschuteslibrary.org,POINT (-121.434807 43.866245),53,27,2362
Alvadore Community Library,Alvadore Community Library,,90829 Alvadore Road Alvadore OR 97448,90829 Alvadore Road,Alvadore,Lane,OR,97448,Volunteer,PO BOX 36 Junction City OR 97409,Junction City,Lane,OR,97409,(541) 461-4933,,,,,Ramona,Jirkofsky,(541) 689-0044,,POINT (-123.26414700000001 44.12654),8,4,2371
Portland Community College - Rock Creek Campus,Portland Community College,Rock Creek Campus,17705 NW Springville Rd Portland OR 97229,17705 NW Springville Rd,Portland,,OR,97229,Academic,PO Box 19000 Portland  97280-0990,Portland,,,97280-0990,971 722-7413,971 722--5318,https://www.pcc.edu/library/about/people/contact/email-a-librarian/,http://www.pcc.edu/library/,,Michelle,Bagley,971 722-4497,michelle.bagley@pcc.edu,POINT (-122.858845 45.562985),31,16,724
Columbia City Community Library,Columbia City Community Library,,2000 2nd Street Columbia City OR 97018,2000 2nd Street,Columbia City,Columbia County,OR,97018,Volunteer,1840 Second Street PO Box 189 Columbia City OR 97018,Columbia City,Columbia,OR,97018,(503) 366-8020,,ccclibrary@live.com,https://www.freewebs.com/cccomlibrary/,,Catherine,Lundberg,(503) 556-1958,ccclibrary@live.com,POINT (-122.80948 45.891567),31,16,2319
George Fox University - Murdock Learning Resource Center,George Fox University,Murdock Learning Resource Center,416 N Meridian St. Newberg OR 97132-2698,416 N Meridian St.,Newberg,,OR,97132-2698,Academic,,,,,,503-554-2410,503-554-3599,,http://library.georgefox.edu/,,Dan,Ingersoll,503-554-2411,ringersoll@georgefox.edu,POINT (-122.97054900000002 45.30358600000001),25,13,2453
Corvallis-Benton County Public Library - Alsea Community Library,Corvallis-Benton County Public Library,Alsea Community Library,19192 Alsea Hwy Alsea OR 97324,19192 Alsea Hwy,Alsea,Benton,OR,97324,Public,19192 Alsea Hwy Alsea  97324,Alsea,Benton,,97324,(541) 487-5061,(541) 487-5061,,http://www.cbcpl.net,NONE,Andrew,Cherbas,,andrew.cherbas@corvallisoregon.gov,POINT (-123.59386000000002 44.382325),23,12,2316
Rogue Community College - Library,Rogue Community College,Library,3345 Redwood Highway Grants Pass OR 97527-9298,3345 Redwood Highway,Grants Pass,,OR,97527-9298,Academic,,,,,,541-956-7152,541-471-3588,,http://go.roguecc.edu/department/rcc-libraries,,Robert,Felthousen,541-956-7147,RFelthousen@roguecc.edu,POINT (-123.395029 42.414614),3,2,2368
The Dalles-Wasco County Library,The Dalles-Wasco County Library,,722 Court St The Dalles OR 97058,722 Court St,The Dalles,Wasco,OR,97058,Public,722 Court St The Dalles OR 97058,The Dalles,,OR,97058,(541) 296-2815,(541) 296-4179,jwavrunek@ci.the-dalles.or.us,http://wascocountylibrary.com,WCLSD,Jeff,Wavrunek,(541) 506-2042,jwavrunek@ci.the-dalles.or.us,POINT (-121.18591899999998 45.598998),59,30,2451
Multnomah County Library - North Portland Library,Multnomah County Library,North Portland Library,512 N Killingsworth St Portland OR 97217,512 N Killingsworth St,Portland,Multnomah County,OR,97217,Public,,,,,,,,,,NONE,Kirby,McCurtis,(503)988-6280,kirbym@multcolib.org,POINT (-122.671504 45.562702),43,22,2410
Jackson County Library Services - Talent Branch Library,Jackson County Library Services,Talent Branch Library,101 Home St Talent OR 97540,101 Home St,Talent,Jackson,OR,97540,Public,PO Box 597 Talent  97540,Talent,Jackson,,97540,(541) 535-4163,(541) 535-4163,info@jcls.org,http://www.jcls.org,NONE,Patrick,Mathewes,(541) 535-4163,pmathewes@jcls.org,POINT (-122.78948900000002 42.245038),5,3,2367
River Road Santa Clara Volunteer Library,River Road Santa Clara Volunteer Library,,105 Oakleigh Lane Eugene  Or 97404,105 Oakleigh Lane,Eugene,Lane,Or,97404,Volunteer,105 Oakleigh Lane Eugene  Or 97404,Eugene,Lane,Or,97404,(541) 607-1882,,rrscvl@live.com,http://rrscvollib.org,,Cheryl,Coleman,(541) 607-1882,rrscvl@live.com,POINT (-123.119728 44.077983),13,7,2371
Yoncalla Library,Yoncalla Library,,194 Birch Yoncalla OR 97499,194 Birch,Yoncalla,Douglas County,OR,97499,Volunteer,PO Box 157 Yoncalla  97499,Yoncalla,Douglas,,97499,(541) 849-2128,(541) 849-2128,,,NONE,,,,,POINT (-123.284584 43.599819),7,4,2363
Linfield College - Portland Campus Library,Linfield College,Portland Campus Library,2255 NW 22nd Ave Portland OR 97210,2255 NW 22nd Ave,Portland,,OR,97210,Academic,,,,,,503-413-7820,503-229-8016,,,,,,,,POINT (-122.69692700000002 45.539114),33,17,2410
Woodburn Public Library,Woodburn Public Library,,280 Garfield St Woodburn OR 97071,280 Garfield St,Woodburn,Marion,OR,97071,Public,280 Garfield St Woodburn OR 97071,Woodburn,,OR,97071,(503) 982-5262,(503) 982-5258,reference@ci.woodburn.or.us,http://www.woodburnlibrary.org/,CCRLS,John,Hunter,(503) 982-5259,john.hunter@ci.woodburn.or.us,POINT (-122.857981 45.143026),22,11,2409
Multnomah County Library - Troutdale Library,Multnomah County Library,Troutdale Library,2451 SW Cherry Park Rd Troutdale OR 97060,2451 SW Cherry Park Rd,Troutdale,Multnomah,OR,97060,Public,2451 SW Cherry Park Rd Troutdale OR 97060,Troutdale,Multnomah,OR,97060,(503) 988-5123,(503) 988-5441,,http://www.multcolib.org/,NONE,Sarah,Oliver,(503) 988-6433,saraho@multcolib.org,POINT (-122.40932900000001 45.529116),49,25,2410
Sandy Public Library,Sandy Public Library,,38980 Proctor Blvd  Sandy  OR 97055,38980 Proctor Blvd,Sandy,Clackamas,OR,97055,Public,38980 Proctor Blvd   Sandy OR 97055,Sandy,,OR,97055,(503) 668-5537,(503) 668-3153,saref@lincc.org,http://www.ci.sandy.or.us/library,LINCC,Sarah,McIntyre,(503) 668-5537,smcintyre@ci.sandy.or.us,POINT (-122.261898 45.39729700000001),52,26,2317
Klamath County Library - Senior Center Branch Library,Klamath County Library,Senior Center Branch Library,2045 Arthur Street Klamath Falls OR 97603,2045 Arthur Street,Klamath Falls,Klamath,OR,97603,Public,126 South Third Street Klamath Falls OR 97601,Klamath Falls,Klamath,OR,97601,(541) 205-8220,,seniorcenterstaff@klamathlibrary.org,http://www.klamathlibrary.org,NONE,Nathalie,Johnston,(541) 882-8894  ext 23,njohnston@klamathlibrary.org,POINT (-121.74869699999999 42.209432),56,28,2369
North Plains Public Library,North Plains Public Library,,31334 NW Commercial St. North Plains OR 97133,31334 NW Commercial St.,North Plains,Washington,OR,97133,Public,31360 NW Commercial St. North Plains OR 97133,North Plains,,OR,97133,(503) 647-5051,(503) 647-5043,info@nplibrary.org,http://www.nplibrary.org,WCCLS,Eric,"Danko, Interim",(503) 647-5051,ericd@wccls.org,POINT (-122.999644 45.597653),30,15,724
McMinnville Public Library - McMinnville Public Library Bookmobile,McMinnville Public Library,McMinnville Public Library Bookmobile,225 NW Adams McMinnville OR 97128,225 NW Adams,McMinnville,Yamhill,OR,97128,Public,,,,,,(503) 435-5550,,libref@mcminnvilleoregon.gov,http://www.maclibrary.org,CCRLS,Jenny,Berg,(503) 435-5550,jenny.berg@mcminnvilleoregon.gov,POINT (-123.199131 45.209385),24,12,2453
Deschutes Public Library System - Downtown Bend Library,Deschutes Public Library System,Downtown Bend Library,601 NW Wall St Bend OR 97703,601 NW Wall St,Bend,Deschutes,OR,97703,Public,,,,,,541-617-7050,541-617-7059,,http://www.deschuteslibrary.org/bend/,NONE,Todd,Dunkelberg,541-312-1021,toddd@deschuteslibrary.org,POINT (-121.316221 44.057125),54,27,2362
Siuslaw Public Library District,Siuslaw Public Library District,,1460 9th St Florence  OR 97439,1460 9th St,Florence,Lane,OR,97439,Public,1460 9th Street Florence OR 97439,Florence,,OR,97439,(541) 997-3132,(541) 997-6473,ref@siuslawlibrary.org,http://www.siuslawlibrary.info/,NONE,Megan,Spencer,(541) 997-3132 ext 211,meg@siuslawlibrary.org,POINT (-124.104617 43.974658),9,5,2371
Eugene Public Library - Bethel,Eugene Public Library,Bethel,1990 Echo Hollow Rd. Eugene OR 97402,1990 Echo Hollow Rd.,Eugene,Lane County,OR,97402,Public,,,,,,541-682-5450,541-682-5770,LibraryAskUs@ci.eugene.or.us,http://www.eugene-or.gov/library,NONE,Will,O'Hearn,541-682-5363,wohearn@eugene-or.gov,POINT (-123.168118 44.083514),14,7,2371
Harrisburg Public Library,Harrisburg Public Library,,354 Smith St Harrisburg  OR 97446,354 Smith St,Harrisburg,Linn,OR,97446,Public,PO Box 378 Harrisburg OR 97446,Harrisburg,,OR,97446,(541) 995-6949,(541) 995-9244,cspangler@ci.harrisburg.or.us,http://www.ci.harrisburg.or.us/library,NONE,Cheryl,Spangler,(541) 995-6949,cspangler@ci.harrisburg.or.us,POINT (-123.17027300000001 44.272322),11,6,2407
Warner Pacific University - Otto F. Linn Library,Warner Pacific University,Otto F. Linn Library,2219 SE 68th Ave Portland OR 97215-4099,2219 SE 68th Ave,Portland,,OR,97215-4099,Academic,,,,,,503-517-1102,503-517-1351,library@warnerpacific.edu,http://www.warnerpacific.edu/academics/library/,,Dr. Lishi,Kwasitsu,503-517-1023,lkwasitsu@warnerpacific.edu,POINT (-122.59370900000002 45.506759),46,23,2410
Columbia Gorge Community College Library,Columbia Gorge Community College Library,,400 E Scenic Drive The Dalles OR 97058-3434,400 E Scenic Drive,The Dalles,Wasco,OR,97058-3434,Academic,,,,,,541-506-6081,541-506-6082,library@cgcc.edu,http://www.cgcc.edu/library,,Dylan,McManus,541-506-6080,dmcmanus@cgcc.edu,POINT (-121.188071 45.590614),59,30,2451
Cove Public Library,Cove Public Library,,606 Main St Cove OR 97824,606 Main St,Cove,Union,OR,97824,Volunteer,PO Box 31 Cove OR 97824,Cove,Union,OR,97824,(541) 568-5001,,,http://coveoregon.org/cove-library/,,Mary Jane,Johnson,,,POINT (-117.81143100000001 45.296965),58,29,2414
Oregon College Of Oriental Medicine,Oregon College Of Oriental Medicine,,75 NW Couch Street Portland OR 97209,75 NW Couch Street,Portland,,OR,97209,Academic,,,,,,503-253-3443 x 132,,librarian@ocom.edu,https://library.ocom.edu/,,Candise,Branum,503-253-3443  ext 134,cbranum@ocom.edu,POINT (-122.67105600000001 45.523872),36,18,2410
Myrtle Creek Library,Myrtle Creek Library,,231 Division Street Myrtle Creek OR 97457,231 Division Street,Myrtle Creek,Douglas County,OR,97457,Volunteer,PO Box 57 Myrtle Creek  97457,Myrtle Creek,Douglas,,97457,(541) 863-5945,(541) 863-5945,,,NONE,,,,,POINT (-123.284713 43.027478),2,1,2363
Lyons Public Library,Lyons Public Library,,279 Eighth Street Lyons OR 97358,279 Eighth Street,Lyons,Linn,OR,97358,Public,448 Cedar Lyons OR 97358,Lyons,Linn,OR,97358,(503) 859-2366,0,lyonspl@ccrls.org,http://lyons.ccrls.org/,CCRLS,Brenda,Harris,(503) 859-2366,bharris@ccrls.org,POINT (-122.61316200000002 44.774936),17,9,2407
Benton County Law Library,Benton County Law Library,,559 NW Monroe Avenue Corvallis OR 97330,559 NW Monroe Avenue,Corvallis,Benton,OR,97330,Special,4077 SW Research Way Sunset Building Corvallis OR 97333,Corvallis,Benton,OR,97333,(541) 766-6673,,martha.a.jenkins@co.benton.or.us,http://www.co.benton.or.us/boc/law_library.php,,Martha,Jenkins,(541) 766-6673,martha.a.jenkins@co.benton.or.us,POINT (-123.263818 44.565082),16,8,2316
Multnomah County Library - Albina Library,Multnomah County Library,Albina Library,3605 NE 15th Ave Portland OR 97212,3605 NE 15th Ave,Portland,Multnomah,OR,97212,Public,,,,,,5039885123,,,,NONE,Lisa,White,(503)988-4441,lisawh@multcolib.org,POINT (-122.650397 45.548888),43,22,2410
Marion County Law Library,Marion County Law Library,,234 High Street SE Salem OR 97301,234 High Street SE,Salem,Marion,OR,97301,Special,PO Box 14500 Marion County Law Library Salem OR 97309-5036,Salem,Marion,OR,97309-5036,(503) 588-5090,(503) 373-4386,lawlibrary@co.marion.or.us,http://www.co.marion.or.us/LC/LawLibrary,,Jon,Brenner,(503) 588-5090,JBrenner@co.marion.or.us,POINT (-123.038165 44.937709),21,11,2409
Pilot Rock Public Library,Pilot Rock Public Library,,144 N. Alder Pl Pilot Rock OR 97868,144 N. Alder Pl,Pilot Rock,Umatilla,OR,97868,Public,PO Box 520 Pilot Rock OR 97868,Pilot Rock,,OR,97868,(541) 443-3285,(541) 443-2253,pilotrockpl@centurytel.net,http://www.pilotrockpubliclibrary.weebly.com,UCSLD,Susan,Price,(541) 443-3285,pilotrockpl@centurytel.net,POINT (-118.83370100000002 45.4831),58,29,2413
Central Oregon Community College,Central Oregon Community College,,2600 NW College Way Bend OR 97703-5998,2600 NW College Way,Bend,,OR,97703-5998,Academic,2600 NW College Way Bend  97703,Bend,,,97703,541-383-7560,541-383-7507,,http://www.cocc.edu/Library/,,Tina,Hovekamp,541-383-7295,thovekamp@cocc.edu,POINT (-121.34785000000001 44.069575),54,27,2362
Spray Public/School Library,Spray Public/School Library,,303 Park Ave. Spray OR 97874,303 Park Ave.,Spray,Wheeler,OR,97874,Public,PO Box 230 Spray OR 97874,Spray,,OR,97874,(541) 468-2226,(541) 468-2630,ljohnson@spray.k12.or.us,,NONE,Larry,Johnson,(541) 468-2226,ljohnson@spray.k12.or.us,POINT (-119.793004 44.833654),59,30,2452
Jackson County Library Services - Prospect Branch Library,Jackson County Library Services,Prospect Branch Library,150 Mill Creek Dr Prospect OR 97536,150 Mill Creek Dr,Prospect,Jackson,OR,97536,Public,,,,,,(541) 560-3668,(541) 560-3668,info@jcls.org,http://www.jcls.org,NONE,LeeAnna,Pierce,(541) 560-3668,lpierce@jcls.org,POINT (-122.48871700000001 42.753468),55,28,2367
Jackson County Genealogy Library,Jackson County Genealogy Library,,3405 South Pacific Highway Medford OR 97501,3405 South Pacific Highway,Medford,Jackson,OR,97501,Special,3405 South Pacific Highway Medford OR 97501,Medford,,OR,97501,(541) 512-2340,,info@rvgslibrary.org,http://www.rvgslibrary.org,,Chloe,Sternola,(541) 512-2340,annebilleteroregon@gmail.com,POINT (-122.835716 42.289451),5,3,2367
