District ID,District Name,School ID,School Name,Principal,Grades,School Type,County,Student Enrollment,Ever English Learners,Languages Spoken,Students with Disabilities,Free/Reduced Priced Lunch,Required Immunizations,Teachers,Educational Assistants,Counselors,Average Teacher Turnover Rate,Teacher Experience,Same Principal in the Last 3 Years,Class Size,Class Size Change from Last Year,Class Size Change Value,Oregon Class Size Average,Regular Attenders,Regular Attenders Change from Last Year,Regular Attenders Change Value,Oregon Regular Attenders Average,Individual Student Progress,English Language Arts,ELA Change from Last Year,ELA Change Value,Oregon ELA Average,Mathematics,Mathematics Change from Last Year,Mathematics Change Value,Oregon Mathematics Average,On-Track to Graduate,On-Track to Graduate Change from Last Year,On-Track to Graduate Change Value,Oregon On-Track to Graduate Average,On-Time Graduation,On-Time Graduation Change from Last Year,On-Time Graduation Change Value,Oregon On-Time Graduation Average,Five-Year Completion,Five-Year Completion Change from Last Year,Five-Year Completion Change Value,Oregon Five-Year Completion Average,College Going,College Going Change from Last Year,College Going Change Value,Oregon College Going Average
2056,Klamath Falls City Schools,462,Pelican Elementary School,Michelle McCabe,Grade(s) K-5,E,Klamath,251,*,4,15%,>95%,92%,15,8,0,15%,88%,No,21,Decrease,1,25,89%,Increase,7%,80%,Average,34%,Decrease,4%,51%,30%,Decrease,10%,43%,,,,,,,,,,,,,,,,
2056,Klamath Falls City Schools,463,Ponderosa Middle School,Brett Lemieux,Grade(s) 6-8,M,Klamath,613,8%,6,15%,>95%,97%,31,11,1,21%,64%,No,24,Decrease,1,25,82%,Increase,1%,80%,Average,47%,No Change,,54%,34%,Increase,1%,39%,,,,,,,,,,,,,,,,
2056,Klamath Falls City Schools,465,Roosevelt Elementary School,Joel Sauter,Grade(s) K-5,E,Klamath,389,<5%,5,12%,47%,96%,18,6,0,10%,73%,No,23,Decrease,3,25,94%,Increase,5%,80%,Average,50%,Decrease,7%,51%,56%,No Change,,43%,,,,,,,,,,,,,,,,
2262,Knappa SD 4,166,Hilda Lahti Elementary School,Leila Collier,Grade(s) K-8,E,Clatsop,357,*,8,23%,48%,95%,24,9,<1,20%,75%,Yes,19.5,No Change,,25,83%,Increase,1%,80%,Low,24%,Decrease,11%,52%,19%,Decrease,1%,41%,,,,,,,,,,,,,,,,
2262,Knappa SD 4,169,Knappa High School,Laurel Smalley,Grade(s) 9-12,H,Clatsop,129,*,6,16%,45%,94%,7,0,<1,27%,50%,Yes,15,Increase,1,25,76%,Increase,6%,80%,,,,,,,,,,87%,Decrease,2%,85%,94%,Increase,3%,79%,91%,Increase,15%,85%,69%,Increase,23%,62%
2212,La Grande SD 1,1066,Central Elementary School,Suzy Mayes,Grade(s) K-5,E,Union,496,7%,13,18%,>95%,95%,25,18,1,15%,69%,Yes,25,Decrease,2,25,81%,Decrease,2%,80%,Average,53%,Increase,10%,51%,48%,Increase,15%,43%,,,,,,,,,,,,,,,,
2212,La Grande SD 1,1068,Greenwood Elementary School,Ryan Westenskow,Grade(s) K-5,E,Union,302,*,3,21%,>95%,94%,16,11,1,11%,82%,Yes,25,Decrease,2,25,80%,Increase,1%,80%,Average,40%,Increase,2%,51%,32%,Decrease,1%,43%,,,,,,,,,,,,,,,,
2212,La Grande SD 1,1069,Island City Elementary School,John Tolan,Grade(s) K-5,E,Union,313,<5%,2,19%,>95%,95%,16,10,1,21%,78%,Yes,26,Increase,1,25,83%,Decrease,4%,80%,High,64%,Increase,9%,51%,56%,Increase,7%,43%,,,,,,,,,,,,,,,,
2212,La Grande SD 1,1073,La Grande High School,Brett Baxter,Grade(s) 9-12,H,Union,625,5%,9,15%,>95%,87%,32,14,3,11%,74%,Yes,22,Decrease,1,25,79%,No Change,,80%,,,,,,,,,,83%,No Change,,85%,86%,Increase,6%,79%,90%,Increase,3%,85%,55%,Decrease,5%,62%
2212,La Grande SD 1,1072,La Grande Middle School,Kyle McKinney,Grade(s) 6-8,M,Union,532,<5%,11,18%,>95%,94%,26,12,1,9%,63%,Yes,27,Increase,2,25,82%,Increase,1%,80%,Average,50%,Decrease,2%,54%,36%,Decrease,5%,39%,,,,,,,,,,,,,,,,
2059,Lake County SD 7,491,Daly Middle School,Lane Stratton,Grade(s) 7-8,M,Lake,119,14%,3,16%,47%,97%,5,0,0,33%,90%,No,18,Unavailable,,25,76%,Increase,2%,80%,Average,61%,Increase,7%,55%,45%,Increase,3%,40%,,,,,,,,,,,,,,,,
2059,Lake County SD 7,490,Fremont/Hay Elementary School,Susan Warner,Grade(s) K-6,E,Lake,358,11%,3,18%,55%,97%,21,10,<1,15%,73%,Yes,24,Unavailable,,25,75%,No Change,,80%,Average,50%,Decrease,2%,51%,43%,Decrease,4%,42%,,,,,,,,,,,,,,,,
2059,Lake County SD 7,492,Lakeview Senior High School,Lane Stratton,Grade(s) 9-12,H,Lake,234,9%,2,11%,45%,97%,18,4,1,24%,81%,No,15,Unavailable,,25,66%,Decrease,1%,80%,,,,,,,,,,84%,Decrease,3%,85%,91%,Increase,6%,79%,87%,Decrease,5%,85%,39%,Decrease,16%,62%
2059,Lake County SD 7,489,Union Elementary School,Susan Warner,Grade(s) K-6,E,Lake,44,*,1,*,36%,96%,3,2,0,21%,50%,Yes,18,Unavailable,,25,77%,Decrease,3%,80%,Average,73%,Decrease,1%,51%,55%,Decrease,23%,42%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,53,Forest Hills Elementary School,Patrick Shuckerow,Grade(s) K-5,E,Clackamas,429,<5%,10,12%,7%,92%,24,10,<1,10%,84%,No,23.5,No Change,,25,92%,Decrease,1%,80%,High,88%,Increase,7%,51%,81%,No Change,,43%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,54,Hallinan Elementary School,Melissa Griffiths,Grade(s) K-5,E,Clackamas,460,*,13,10%,7%,93%,26,7,<1,15%,75%,No,22,Decrease,1,25,91%,No Change,,80%,High,84%,Decrease,4%,51%,78%,Decrease,7%,43%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,55,Lake Grove Elementary School,Scott Schinderle,Grade(s) K-5,E,Clackamas,391,<5%,13,19%,6%,93%,23,19,<1,20%,83%,No,24,Increase,1,25,92%,No Change,,80%,Average,84%,Decrease,5%,51%,77%,Decrease,8%,43%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,59,Lake Oswego Middle School,Kevin Mills,Grade(s) 6-8,M,Clackamas,871,<5%,20,11%,8%,94%,41,14,3,13%,73%,No,29,Increase,1,25,90%,Decrease,1%,80%,High,87%,Decrease,2%,54%,74%,Decrease,3%,39%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,61,Lake Oswego Senior High School,Rollin Dickinson,Grade(s) 9-12,H,Clackamas,1262,6%,25,8%,7%,97%,59,16,4,8%,91%,Yes,26,No Change,,25,87%,Decrease,2%,80%,,,,,,,,,,96%,No Change,,85%,92%,Increase,2%,79%,96%,Increase,1%,85%,88%,Decrease,1%,62%
1923,Lake Oswego SD 7J,62,Lakeridge High School,Desiree Fisher,Grade(s) 9-12,H,Clackamas,1144,<5%,24,6%,5%,95%,53,8,4,11%,88%,No,27,Increase,3,25,84%,Increase,1%,80%,,,,,,,,,,96%,No Change,,85%,94%,Decrease,1%,79%,98%,Increase,2%,85%,78%,Decrease,7%,62%
1923,Lake Oswego SD 7J,60,Lakeridge Middle School,Kurt Schultz,Grade(s) 6-8,M,Clackamas,837,<5%,27,9%,6%,94%,37,4,4,18%,77%,Yes,29,Increase,1,25,89%,Decrease,2%,80%,Average,81%,Decrease,2%,54%,73%,Increase,2%,39%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,1288,Oak Creek Elementary School,Lilian Sarlos,Grade(s) K-5,E,Clackamas,589,9%,22,9%,11%,95%,31,15,0,13%,88%,Yes,26,Increase,1,25,94%,Increase,2%,80%,High,80%,Decrease,2%,51%,75%,Decrease,5%,43%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,56,River Grove Elementary School,Dan Draper Ed.D,Grade(s) K-5,E,Clackamas,555,<5%,14,9%,8%,93%,27,7,1,20%,73%,Yes,25.5,No Change,,25,92%,Decrease,2%,80%,High,76%,Decrease,5%,51%,72%,Decrease,3%,43%,,,,,,,,,,,,,,,,
1923,Lake Oswego SD 7J,58,Westridge Elementary School,Kari Montgomery,Grade(s) K-5,E,Clackamas,453,*,19,10%,<5%,94%,25,9,0,22%,88%,Yes,25,Decrease,1,25,>95%,No Change,,80%,High,90%,Increase,3%,51%,88%,Increase,7%,43%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,652,Cascades School,Ryan Christner,Grade(s) K-6,E,Linn,319,*,2,23%,>95%,95%,20,16,1,17%,67%,Yes,23,No Change,,25,88%,Increase,3%,80%,Average,40%,Decrease,2%,51%,33%,Decrease,5%,42%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,653,Green Acres School,Amanda Plummer,Grade(s) K-6,E,Linn,329,14%,6,22%,>95%,95%,21,16,1,26%,62%,Yes,23,Increase,1,25,78%,No Change,,80%,Low,34%,Decrease,2%,51%,25%,Decrease,9%,42%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,658,Hamilton Creek School,Jordon Ford,Grade(s) K-8,E,Linn,327,*,2,15%,61%,91%,17,6,1,15%,81%,No,22,Decrease,3,25,78%,Decrease,3%,80%,Low,44%,Decrease,7%,52%,28%,Decrease,7%,41%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,671,Lacomb School,Tim Geoghegan,Grade(s) K-8,E,Linn,228,*,6,13%,49%,91%,13,4,1,23%,64%,No,20,Decrease,3,25,83%,Decrease,1%,80%,High,62%,Decrease,6%,52%,55%,Decrease,13%,41%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,688,Lebanon High School,Craig Swanson,Grade(s) 9-12,H,Linn,1141,<5%,10,17%,49%,96%,61,15,4,16%,73%,Yes,24,Decrease,1,25,68%,Increase,2%,80%,,,,,,,,,,77%,Decrease,3%,85%,80%,Increase,7%,79%,81%,Increase,1%,85%,52%,Decrease,1%,62%
2101,Lebanon Community SD 9,3504,Pioneer School,Tonya Cairo,Grade(s) K-6,E,Linn,375,*,3,13%,>95%,95%,19,10,1,21%,65%,Yes,23,Decrease,1,25,84%,Increase,3%,80%,High,57%,Increase,2%,51%,51%,Increase,5%,42%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,3503,Riverview School,Joe Vore,Grade(s) K-5,E,Linn,418,*,3,20%,>95%,96%,22,9,1,24%,79%,Yes,23.5,No Change,,25,81%,Decrease,2%,80%,Average,42%,Increase,1%,51%,37%,Increase,1%,43%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,3505,Sand Ridge Charter School,Audrey Cota,Grade(s) K-8,E,Linn,323,*,3,7%,39%,93%,20,16,0,23%,63%,Yes,18,No Change,,25,87%,Increase,5%,80%,High,74%,No Change,,52%,67%,Increase,3%,41%,,,,,,,,,,,,,,,,
2101,Lebanon Community SD 9,674,Seven Oak Middle School,Mike Hillman,Grade(s) 6-8,M,Linn,592,5%,6,17%,>95%,95%,34,17,2,33%,56%,No,23,Decrease,3,25,78%,Decrease,2%,80%,Average,43%,Decrease,4%,54%,35%,Decrease,1%,39%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,623,Crestview Heights School,Libba Sager,Grade(s) K-6,E,Lincoln,331,<5%,5,22%,>95%,91%,17,8,1,18%,67%,No,22,Decrease,2,25,64%,Decrease,11%,80%,High,49%,Increase,2%,51%,17%,Decrease,11%,42%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,3361,Eddyville Charter School,Stacy Knudson,Grade(s) K-12,H,Lincoln,194,*,2,10%,>95%,91%,14,1,0,34%,60%,No,16,Increase,3,25,68%,Decrease,1%,80%,,,,,,,,,,88%,Decrease,>7%,85%,100%,Increase,6%,79%,94%,Increase,5%,85%,44%,Unavailable,,62%
2097,Lincoln County SD,3240,Lincoln City Career Technical High School,Sean Larsen,Grade(s) 9-12,H,Lincoln,48,*,2,*,>95%,96%,4,0,<1,16%,50%,Yes,41,Decrease,10,25,45%,Decrease,10%,80%,,,,,,,,,,46%,Unavailable,,85%,52%,Decrease,15%,79%,67%,Increase,5%,85%,10%,Decrease,40%,62%
2097,Lincoln County SD,627,Newport High School,Reyna Mattson,Grade(s) 9-12,H,Lincoln,635,22%,8,18%,>95%,95%,29,19,2,14%,87%,No,26,Increase,2,25,69%,Decrease,4%,80%,,,,,,,,,,80%,Decrease,4%,85%,84%,Increase,4%,79%,84%,Increase,4%,85%,62%,Increase,1%,62%
2097,Lincoln County SD,615,Newport Middle School,Aaron Belloni,Grade(s) 6-8,M,Lincoln,479,22%,7,12%,>95%,96%,21,6,1,16%,90%,Yes,27,Increase,3,25,72%,Decrease,1%,80%,Average,53%,Decrease,4%,54%,32%,Decrease,8%,39%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,617,Oceanlake Elementary School,Sandy Mummey,Grade(s) K-2,E,Lincoln,376,11%,6,18%,>95%,89%,20,6,1,43%,56%,Yes,23.5,Increase,4,25,69%,Decrease,6%,80%,*,30%,No Change,,,27%,Decrease,4%,,,,,,,,,,,,,,,,,
2097,Lincoln County SD,625,Sam Case Elementary,Shelley Moore,Grade(s) 3-5,E,Lincoln,477,22%,6,12%,>95%,96%,24,8,0,21%,88%,No,27,No Change,,25,80%,Decrease,2%,80%,Average,49%,Decrease,3%,51%,39%,Increase,2%,43%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,4468,Siletz Valley Early College Academy,Samuel Tupou,Grade(s) 9-12,H,Lincoln,79,*,2,24%,>95%,99%,5,0,<1,39%,50%,Yes,13,Decrease,1,25,62%,Increase,9%,80%,,,,,,,,,,73%,Decrease,2%,85%,85%,Increase,4%,79%,85%,Increase,6%,85%,24%,Decrease,12%,62%
2097,Lincoln County SD,4038,Siletz Valley Schools,Samuel Tupou,Grade(s) K-8,E,Lincoln,126,*,2,20%,>95%,96%,10,4,<1,32%,56%,Yes,13,Increase,1,25,76%,Increase,1%,80%,Low,21%,No Change,,52%,11%,Decrease,3%,41%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,620,Taft Elementary School,Rebecca Bostwick,Grade(s) 3-6,E,Lincoln,544,14%,4,20%,>95%,95%,29,8,1,17%,82%,No,24,Increase,1,25,74%,Decrease,1%,80%,Average,34%,Decrease,1%,51%,22%,Decrease,4%,42%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,628,Taft High School,Nick Lupo,Grade(s) 9-12,H,Lincoln,451,16%,6,12%,>95%,96%,20,6,1,21%,68%,No,21,Increase,5,25,62%,Decrease,4%,80%,,,,,,,,,,75%,Increase,1%,85%,79%,Increase,2%,79%,80%,Increase,3%,85%,48%,Decrease,17%,62%
2097,Lincoln County SD,621,Taft Middle School,Nick Lupo,Grade(s) 7-8,M,Lincoln,259,15%,4,17%,>95%,92%,11,4,<1,43%,50%,No,25.5,No Change,,25,78%,Increase,6%,80%,Low,23%,Increase,3%,55%,16%,Increase,6%,40%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,611,Toledo Elementary School,Paul Tucker,Grade(s) K-6,E,Lincoln,433,*,3,17%,>95%,97%,22,6,1,24%,74%,Yes,22.5,Increase,1,25,75%,No Change,,80%,High,41%,Increase,8%,51%,29%,Increase,1%,42%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,622,Toledo Jr. High,Richard Cedar,Grade(s) 7-8,M,Lincoln,111,*,2,13%,>95%,97%,5,<1,<1,21%,83%,Yes,28,Increase,6,25,72%,Decrease,5%,80%,Low,29%,Decrease,8%,55%,11%,Decrease,12%,40%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,629,Toledo Senior High School,Richard Cedar,Grade(s) 9-12,H,Lincoln,196,*,3,18%,>95%,98%,10,<1,<1,24%,87%,Yes,20,Increase,4,25,63%,Decrease,1%,80%,,,,,,,,,,78%,Increase,15%,85%,79%,Increase,7%,79%,75%,Decrease,14%,85%,50%,Increase,15%,62%
2097,Lincoln County SD,630,Waldport High School,Amy Skirvin,Grade(s) 9-12,H,Lincoln,181,*,2,12%,>95%,92%,12,2,0,29%,75%,No,17,Decrease,1,25,61%,Decrease,2%,80%,,,,,,,,,,88%,Increase,11%,85%,94%,Increase,16%,79%,87%,Increase,5%,85%,48%,No Change,,62%
2097,Lincoln County SD,624,Waldport Middle School,Amy Skirvin,Grade(s) 7-8,M,Lincoln,80,*,2,19%,>95%,88%,4,1,0,46%,63%,No,22,Increase,5,25,69%,Increase,1%,80%,Average,70%,Increase,7%,55%,46%,Increase,7%,40%,,,,,,,,,,,,,,,,
2097,Lincoln County SD,618,Yaquina View Elementary,Kristin Takano-Becker,Grade(s) K-2,E,Lincoln,447,23%,8,13%,>95%,94%,23,8,1,23%,80%,Yes,24,Decrease,1,25,71%,Decrease,6%,80%,*,44%,Decrease,2%,,41%,Decrease,8%,,,,,,,,,,,,,,,,,
2012,Long Creek SD 17,3366,Long Creek School,Karl Coghill,Grade(s) K-12,H,Grant,36,*,1,*,>95%,82%,5,<1,0,7%,100%,Yes,7,Increase,1,25,>95%,No Change,,80%,,,,,,,,,,,Unavailable,,85%,67%,Increase,10%,79%,67%,Decrease,33%,85%,,Unavailable,,62%
2092,Lowell SD 71,5349,Bridge Charter Academy,Ben Silebi,Grade(s) K-12,H,Lane,387,*,3,6%,20%,52%,11,4,0,57%,60%,Yes,46,Increase,16,25,84%,Decrease,>11%,80%,,,,,,,,,,88%,Increase,7%,85%,,Unavailable,,79%,*,Unavailable,,85%,,Unavailable,,
2092,Lowell SD 71,599,Lowell Junior/Senior High School,Kay Graham,Grade(s) 7-12,H,Lane,191,*,3,16%,>95%,92%,10,0,<1,10%,80%,Yes,20,Increase,1,25,83%,Increase,9%,80%,,,,,,,,,,89%,Decrease,1%,85%,96%,Increase,7%,79%,96%,Increase,2%,85%,44%,Increase,1%,62%
2092,Lowell SD 71,598,Lundy Elementary School,Jessica Edgerton,Grade(s) K-6,E,Lane,158,*,3,22%,>95%,91%,9,3,0,19%,60%,No,21,Decrease,1,25,82%,Increase,5%,80%,High,41%,Decrease,12%,51%,33%,Decrease,10%,42%,,,,,,,,,,,,,,,,
2092,Lowell SD 71,5252,Mountain View Academy,Laurie Cardwell,Grade(s) K-8,E,Lane,148,*,1,*,34%,93%,10,3,0,29%,60%,Yes,15.5,No Change,,25,92%,Decrease,3%,80%,High,58%,Decrease,6%,52%,46%,Increase,5%,41%,,,,,,,,,,,,,,,,
2085,Mapleton SD 32,568,Mapleton Elementary School,Jodi O'Mara,Grade(s) K-6,E,Lane,78,*,1,13%,>95%,79%,5,0,0,27%,80%,No,18.5,Decrease,1,25,78%,Decrease,2%,80%,Average,42%,Increase,3%,51%,22%,Increase,1%,42%,,,,,,,,,,,,,,,,
2085,Mapleton SD 32,569,Mapleton Jr/Sr High School,Brenda Moyer,Grade(s) 7-12,H,Lane,71,*,2,20%,>95%,87%,9,0,0,20%,67%,Yes,10,Decrease,4,25,64%,Decrease,10%,80%,,,,,,,,,,62%,Decrease,18%,85%,67%,Decrease,15%,79%,82%,Decrease,18%,85%,,Unavailable,,62%
2094,Marcola SD 79J,603,Marcola Elementary School,Terry Augustadt,Grade(s) K-6,E,Lane,157,*,2,13%,35%,91%,8,2,0,9%,100%,Yes,20,Decrease,16,25,81%,Decrease,2%,80%,Low,36%,Decrease,7%,51%,31%,Decrease,15%,42%,,,,,,,,,,,,,,,,
2094,Marcola SD 79J,604,Mohawk High School,Stacey Whaley,Grade(s) 7-12,H,Lane,129,*,2,13%,22%,91%,8,2,0,14%,71%,Yes,15,Increase,1,25,84%,Increase,7%,80%,,,,,,,,,,96%,Increase,>11%,85%,83%,Increase,38%,79%,67%,Decrease,24%,85%,,Unavailable,,62%
2094,Marcola SD 79J,5444,TEACH-NW,Phillip Johnson,Grade(s) K-12,H,Lane,306,*,1,7%,12%,0%,4,0,0,-1,60%,Yes,5,New School,,25,89%,New School,,80%,,,,,,,,,,58%,New School,,85%,,Unavailable,,,*,Unavailable,,,,Unavailable,,
2090,McKenzie SD 68,594,McKenzie River Community School,Nathaniel Tompkins,Grade(s) K-12,H,Lane,208,*,1,16%,>95%,86%,16,9,0,60%,65%,Yes,17,No Change,,25,75%,Increase,9%,80%,,,,,,,,,,79%,Increase,2%,85%,67%,Decrease,23%,79%,100%,Increase,22%,85%,,Unavailable,,62%
2256,McMinnville SD 40,1228,Columbus Elementary School,Kathi Fowler,Grade(s) K-5,E,Yamhill,473,30%,2,14%,>95%,96%,27,14,1,9%,86%,Yes,25,Increase,1,25,87%,Decrease,1%,80%,Average,55%,Decrease,2%,51%,55%,Decrease,5%,43%,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,1315,Duniway Middle School,Hilary  Brittan Lack,Grade(s) 6-8,M,Yamhill,756,28%,5,13%,45%,94%,37,11,2,7%,92%,Yes,25,Increase,1,25,88%,Increase,2%,80%,High,65%,Increase,1%,54%,60%,Increase,6%,39%,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,2784,Grandhaven Elementary School,Stephanie Legard,Grade(s) K-5,E,Yamhill,516,28%,5,12%,>95%,93%,31,15,1,12%,75%,Yes,23,No Change,,25,86%,No Change,,80%,Low,60%,Increase,4%,51%,53%,Decrease,6%,43%,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,1234,McMinnville High School,Amy Fast,Grade(s) 9-12,H,Yamhill,2041,27%,7,11%,34%,96%,105,36,6,10%,92%,Yes,24,Decrease,1,25,78%,Decrease,2%,80%,,,,,,,,,,87%,Decrease,2%,85%,91%,Increase,3%,79%,92%,Increase,1%,85%,52%,Decrease,4%,62%
2256,McMinnville SD 40,1230,Memorial Elementary School,Kim Price,Grade(s) K-5,E,Yamhill,600,9%,5,15%,>95%,91%,32,16,1,11%,82%,Yes,24,Decrease,1,25,91%,Decrease,1%,80%,Average,66%,Decrease,1%,51%,65%,Decrease,2%,43%,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,1231,Newby Elementary School,Davey Altree,Grade(s) K-5,E,Yamhill,502,33%,4,10%,>95%,96%,30,15,1,11%,85%,Yes,22,No Change,,25,87%,Decrease,1%,80%,Average,53%,Increase,3%,51%,51%,Increase,1%,43%,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,1233,Patton Middle School,Brian Crain,Grade(s) 6-8,M,Yamhill,835,32%,5,15%,50%,97%,44,14,1,14%,84%,Yes,23,Decrease,1,25,81%,Decrease,4%,80%,Average,50%,Decrease,1%,54%,44%,Increase,2%,39%,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,4639,Sue Buel Elementary,Debbie Hilfiker,Grade(s) K-5,E,Yamhill,451,43%,4,17%,>95%,97%,29,17,1,21%,74%,No,24,No Change,,25,86%,No Change,,80%,Average,42%,Decrease,6%,51%,37%,Decrease,4%,43%,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,1232,Wascher Elementary School,Lauren Berg,Grade(s) K-5,E,Yamhill,406,23%,3,14%,>95%,95%,23,11,1,12%,96%,Yes,22,Decrease,1,25,85%,Decrease,6%,80%,High,56%,Decrease,5%,51%,62%,Decrease,8%,43%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,1350,Abraham Lincoln Elementary,Megan Young,Grade(s) K-6,E,Jackson,558,<5%,6,15%,33%,94%,26,15,0,25%,66%,Yes,26,Decrease,2,25,86%,Decrease,2%,80%,High,58%,No Change,,51%,56%,No Change,,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,3554,Central Medford High School,Amy Herbst,Grade(s) 9-12,H,Jackson,219,13%,4,19%,>95%,97%,15,9,1,13%,88%,Yes,16,Increase,2,25,7%,Decrease,7%,80%,,,,,,,,,,,Unavailable,,85%,30%,Decrease,1%,79%,48%,Increase,4%,85%,32%,Increase,10%,62%
2048,Medford SD 549C,408,Griffin Creek Elementary School,Erika Bare,Grade(s) K-6,E,Jackson,558,7%,6,15%,>95%,91%,26,15,0,16%,80%,Yes,27,Increase,3,25,88%,Increase,2%,80%,High,59%,No Change,,51%,47%,Decrease,3%,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,421,Hedrick Middle School,Beth Anderson,Grade(s) 6-8,M,Jackson,1009,9%,13,14%,46%,94%,47,13,0,19%,78%,Yes,26,Increase,1,25,84%,Increase,1%,80%,High,70%,Increase,1%,54%,51%,Increase,1%,39%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,409,Hoover Elementary School,Lynn Cataldo,Grade(s) K-6,E,Jackson,718,<5%,15,12%,30%,93%,30,16,0,17%,73%,Yes,27,No Change,,25,85%,Decrease,1%,80%,High,66%,Decrease,10%,51%,59%,Decrease,7%,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,410,Howard Elementary School,Jennifer Snow,Grade(s) K-6,E,Jackson,437,29%,6,22%,>95%,94%,23,8,0,19%,72%,Yes,23,Decrease,1,25,78%,Decrease,2%,80%,High,48%,Increase,2%,51%,34%,Decrease,2%,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,411,Jackson Elementary School,Marisa Poling,Grade(s) K-6,E,Jackson,380,34%,7,25%,>95%,95%,22,11,0,18%,61%,No,24,Increase,3,25,77%,Decrease,1%,80%,Low,30%,Decrease,8%,51%,26%,Decrease,3%,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,412,Jacksonville Elementary School,Fred Kondziela,Grade(s) K-6,E,Jackson,409,<5%,4,12%,28%,84%,21,17,0,9%,92%,Yes,25,Decrease,2,25,84%,Increase,4%,80%,High,71%,Decrease,1%,51%,60%,Decrease,6%,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,413,Jefferson Elementary School,Shelly Inman,Grade(s) K-6,E,Jackson,453,22%,2,15%,>95%,95%,21,12,0,7%,88%,No,25,No Change,,25,82%,Decrease,1%,80%,High,58%,Increase,1%,51%,44%,Decrease,7%,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,416,Kennedy Elementary School,Tom Ettel,Grade(s) K-6,E,Jackson,553,12%,8,18%,>95%,94%,28,16,0,17%,85%,Yes,23.5,No Change,,25,81%,Decrease,2%,80%,Average,43%,Decrease,8%,51%,36%,No Change,,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,5205,Kids Unlimited Academy,Jani Hale,Grade(s) K-8,E,Jackson,435,51%,4,13%,>95%,92%,23,10,0,31%,44%,Yes,24.5,Decrease,2,25,85%,Decrease,1%,80%,Average,42%,Decrease,5%,52%,31%,Increase,5%,41%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,4821,Logos Public Charter School,Sheryl Zimmerer,Grade(s) K-12,H,Jackson,975,<5%,4,10%,18%,70%,46,1,0,15%,84%,Yes,15,Increase,1,25,>95%,No Change,,80%,,,,,,,,,,91%,Decrease,>4%,85%,93%,Increase,6%,79%,96%,Decrease,1%,85%,63%,Increase,7%,62%
2048,Medford SD 549C,414,Lone Pine Elementary School,Gerry Flock,Grade(s) K-6,E,Jackson,581,<5%,7,17%,33%,92%,27,12,0,20%,81%,No,25,No Change,,25,89%,Increase,1%,80%,High,65%,Decrease,5%,51%,57%,Decrease,6%,42%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,4593,Madrone Trail Public Charter School,John Bissey,Grade(s) K-8,E,Jackson,217,*,2,11%,36%,52%,13,5,<1,23%,88%,No,25,Increase,1,25,76%,Increase,2%,80%,High,50%,Increase,7%,52%,32%,Increase,3%,41%,,,,,,,,,,,,,,,,
2048,Medford SD 549C,422,McLoughlin Middle School,Kelly Soter,Grade(s) 6-8,M,Jackson,885,19%,6,13%,>95%,96%,39,13,0,15%,87%,No,26,No Change,,25,84%,Decrease,3%,80%,High,63%,Decrease,2%,54%,41%,Decrease,3%,39%,,,,,,,,,,,,,,,,
